party;newspaper;politician;count;mean;score
CDU;www.stern.de;Helmut Kohl;59;-0.0914;-91
CDU;www.stern.de;Jens Spahn;135;-0.1663;-166
CDU;www.stern.de;Julia Klöckner;43;-0.0621;-62
CDU;www.stern.de;Ole Schröder;40;-0.4366;-436
CDU;www.stern.de;Peter Altmaier;93;-0.1328;-132
CDU;www.stern.de;Peter Tauber;48;-0.0414;-41
CDU;www.stern.de;Thomas de Maizière;112;-0.1566;-156
CDU;www.stern.de;Ursula von der Leyen;93;-0.1306;-130
CDU;www.stern.de;Volker Kauder;51;-0.2023;-202
CDU;www.stern.de;Wolfgang Schäuble;124;-0.132;-131
CDU;www.sueddeutsche.de;Angela Merkel;3606;-0.0788;-78
CDU;www.sueddeutsche.de;Anja Karliczek;43;-0.0301;-30
CDU;www.sueddeutsche.de;Annegret Kramp-Karrenbauer;355;-0.0382;-38
CDU;www.sueddeutsche.de;Armin Laschet;507;-0.0614;-61
CDU;www.sueddeutsche.de;CDU;4966;-0.0602;-60
CDU;www.sueddeutsche.de;Daniel Günther;251;-0.0329;-32
CDU;www.sueddeutsche.de;Helmut Kohl;121;-0.0879;-87
CDU;www.sueddeutsche.de;Hermann Gröhe;128;-0.0413;-41
CDU;www.sueddeutsche.de;Jens Spahn;367;-0.08;-80
CDU;www.sueddeutsche.de;Johanna Wanka;57;-0.0143;-14
CDU;www.sueddeutsche.de;Julia Klöckner;248;-0.0698;-69
CDU;www.sueddeutsche.de;Junge Union;151;-0.0275;-27
CDU;www.sueddeutsche.de;Michael Grosse-Brömer;31;-0.0946;-94
CDU;www.sueddeutsche.de;Michael Kretschmer;106;-0.0922;-92
CDU;www.sueddeutsche.de;Norbert Lammert;44;-0.0361;-36
CDU;www.sueddeutsche.de;Norbert Röttgen;32;-0.0688;-68
CDU;www.sueddeutsche.de;Ole Schröder;93;-0.0889;-88
CDU;www.sueddeutsche.de;Paul Ziemiak;38;-0.0503;-50
CDU;www.sueddeutsche.de;Peter Altmaier;286;-0.059;-58
CDU;www.sueddeutsche.de;Peter Tauber;133;-0.0896;-89
CDU;www.sueddeutsche.de;Reiner Haseloff;85;-0.0425;-42
