date;party;politician;newsshort;news;id;source
2017-11-19;Die Grünen;Cem Özdemir;Jamaika negotiation fails;exploratory talks for Jamaika coalition fail;90;http://www.faz.net/1.5301078
2017-11-19;Die Grünen;Simone Peter;Jamaika negotiation fails;exploratory talks for Jamaika coalition fail;91;http://www.faz.net/1.5301078
2017-11-24;SPD;Martin Schulz;;Martin Schulz opposes Kenia coalition;92;http://www.tagesschau.de/inland/schulz-jusos-103.html
2017-11-24;SPD;SPD;;SPD sees GroKo again as an option;93;https://www.zeit.de/politik/deutschland/2017-11/koalition-spd-regierungsbildung-vorschlaege-mitglieder
2017-11-27;SPD;Wolfgang Thierse;;Kenia coaliton idea;94;http://www.tagesschau.de/inland/groko-debatte-103.html
2018-01-07;SPD;SPD;GroKo negotiation start;GroKo exploratory talks start;95;http://www.spiegel.de/politik/deutschland/deutschland-groko-sondierungen-beginnen-am-7-januar-a-1184354.html
2018-01-07;CDU;CDU;GroKo negotiation start;GroKo exploratory talks start;96;http://www.spiegel.de/politik/deutschland/deutschland-groko-sondierungen-beginnen-am-7-januar-a-1184354.html
2018-01-07;CSU;CSU;GroKo negotiation start;GroKo exploratory talks start;97;http://www.spiegel.de/politik/deutschland/deutschland-groko-sondierungen-beginnen-am-7-januar-a-1184354.html
2018-01-12;SPD;SPD;;GroKo exploratory talk results presented;98;https://www.tagesschau.de/inland/ergebnis-sondierungen-101.pdf
2018-01-12;CDU;CDU;;GroKo exploratory talk results presented;99;https://www.tagesschau.de/inland/ergebnis-sondierungen-101.pdf
2018-01-12;CSU;CSU;;GroKo exploratory talk results presented;100;https://www.tagesschau.de/inland/ergebnis-sondierungen-101.pdf
