Gyde Jensen;Gyde;Jensen;FDP;member of federal parliament 2
Hagen Reinhold;Hagen;Reinhold;FDP;member of federal parliament 2
Halina Wawzyniak;Halina;Wawzyniak;Die Linke;member of federal parliament 1
Hans Michelbach;Hans;Michelbach;CSU;member of federal parliament 1
Hans Modrow;Hans;Modrow;Die Linke;honorary chairperson
Hans-Christian Ströbele;Hans-Christian;Ströbele;Die Grünen;member of federal parliament 1
Hans-Dietrich Genscher;Hans-Dietrich;Genscher;FDP;honorary chairperson
Hans-Georg von der Marwitz;Hans-Georg;von der Marwitz;CDU;member of federal parliament 1
Hans-Joachim Fuchtel;Hans-Joachim;Fuchtel;CDU;member of federal parliament 1
Hans-Joachim Schabedoth;Hans-Joachim;Schabedoth;SPD;member of federal parliament 1
Hans-Jürgen Irmer;Hans-Jürgen;Irmer;CDU;member of federal parliament 2
Hans-Jürgen Thies;Hans-Jürgen;Thies;CDU;member of federal parliament 2
Hans-Peter Bartels;Hans-Peter;Bartels;SPD;member of federal parliament 1
Hans-Peter Uhl;Hans-Peter;Uhl;CSU;member of federal parliament 1
Hans-Ulrich Krüger;Hans-Ulrich;Krüger;SPD;member of federal parliament 1
Hans-Werner Kammer;Hans-Werner;Kammer;CDU;member of federal parliament 1
Hansjörg Durz;Hansjörg;Durz;CSU;member of federal parliament 1
Hansjörg Müller;Hansjörg;Müller;AfD;member of federal parliament 2
Harald Ebner;Harald;Ebner;Die Grünen;member of federal parliament 1
Harald Petzold;Harald;Petzold;Die Linke;member of federal parliament 1
Harald Terpe;Harald;Terpe;Die Grünen;member of federal parliament 1
Harald Weinberg;Harald;Weinberg;Die Linke;member of federal parliament 1
Harald Weyel;Harald;Weyel;AfD;member of federal parliament 2
Hartmut Ebbing;Hartmut;Ebbing;FDP;member of federal parliament 2
Hartmut Koschyk;Hartmut;Koschyk;CSU;member of federal parliament 1
Heidrun Bluhm;Heidrun;Bluhm;Die Linke;member of federal parliament 1
Heidtrud Henn;Heidtrud;Henn;SPD;member of federal parliament 1
Heike Baehrens;Heike;Baehrens;SPD;member of federal parliament 1
Heike Brehmer;Heike;Brehmer;CDU;member of federal parliament 1
Heike Hänsel;Heike;Hänsel;Die Linke;member of federal parliament 1
Heiko Heßenkemper;Heiko;Heßenkemper;AfD;member of federal parliament 2
Heiko Schmelzle;Heiko;Schmelzle;CDU;member of federal parliament 1
Heiko Wildberg;Heiko;Wildberg;AfD;member of federal parliament 2
Heinrich Zertik;Heinrich;Zertik;CDU;member of federal parliament 1
Heinz Riesenhuber;Heinz;Riesenhuber;CDU;member of federal parliament 1
Heinz Wiese;Heinz;Wiese;CDU;member of federal parliament 1
Heinz-Joachim Barchmann;Heinz-Joachim;Barchmann;SPD;member of federal parliament 1
Helga Kühn-Mengel;Helga;Kühn-Mengel;SPD;member of federal parliament 1
Helge Lindh;Helge;Lindh;SPD;member of federal parliament 2
Helmut Brandt;Helmut;Brandt;CDU;member of federal parliament 1
Helmut Heiderich;Helmut;Heiderich;CDU;member of federal parliament 1
Helmut Kohl;Helmut;Kohl;CDU;honorary chairperson
Helmut Nowak;Helmut;Nowak;CDU;member of federal parliament 1
Hendrik Hoppenstedt;Hendrik;Hoppenstedt;CDU;member of federal parliament 1
Henning Otte;Henning;Otte;CDU;member of federal parliament 1
Herbert Behrens;Herbert;Behrens;Die Linke;member of federal parliament 1
Heribert Hirte;Heribert;Hirte;CDU;member of federal parliament 1
Herlind Gundelach;Herlind;Gundelach;CDU;member of federal parliament 1
Hermann Färber;Hermann;Färber;CDU;member of federal parliament 1
Hermann Otto Solms;Hermann Otto;Solms;FDP;member of federal parliament 2
Hermann-Josef Tebroke;Hermann-Josef;Tebroke;CDU;member of federal parliament 2
Hilde Mattheis;Hilde;Mattheis;SPD;member of federal parliament 1
Hiltrud Lotze;Hiltrud;Lotze;SPD;member of federal parliament 1
Hubert Hüppe;Hubert;Hüppe;CDU;member of federal parliament 1
Hubertus Zdebel;Hubertus;Zdebel;Die Linke;member of federal parliament 1
Ingbert Liebing;Ingbert;Liebing;CDU;member of federal parliament 1
Inge Höger;Inge;Höger;Die Linke;member of federal parliament 1
Ingmar Jung;Ingmar;Jung;CDU;member of federal parliament 2
Ingo Gädechens;Ingo;Gädechens;CDU;member of federal parliament 1
Ingo Wellenreuther;Ingo;Wellenreuther;CDU;member of federal parliament 1
Ingrid Arndt-Brauer;Ingrid;Arndt-Brauer;SPD;member of federal parliament 1
Ingrid Fischbach;Ingrid;Fischbach;CDU;member of federal parliament 1
Ingrid Nestle;Ingrid;Nestle;Die Grünen;member of federal parliament 2
Ingrid Pahlmann;Ingrid;Pahlmann;CDU;member of federal parliament 1
Ingrid Remmers;Ingrid;Remmers;Die Linke;member of federal parliament 2
Irene Mihalic;Irene;Mihalic;Die Grünen;member of federal parliament 1
Iris Eberl;Iris;Eberl;CSU;member of federal parliament 1
Iris Gleicke;Iris;Gleicke;SPD;member of federal parliament 1
Iris Ripsam;Iris;Ripsam;CDU;member of federal parliament 1
Jakob Kaiser;Jakob;Kaiser;CDU;honorary chairperson
Jan Korte;Jan;Korte;Die Linke;member of federal parliament 1
Jan Metzler;Jan;Metzler;CDU;member of federal parliament 1
Jan Nolte;Jan;Nolte;AfD;member of federal parliament 2
Jan van Aken;Jan;van Aken;Die Linke;member of federal parliament 1
Jan-Marco Luczak;Jan-Marco;Luczak;CDU;member of federal parliament 1
Jana Schimke;Jana;Schimke;CDU;member of federal parliament 1
Jeannine Pflugradt;Jeannine;Pflugradt;SPD;member of federal parliament 1
Jens Beeck;Jens;Beeck;FDP;member of federal parliament 2
Jens Brandenburg;Jens;Brandenburg;FDP;member of federal parliament 2
Jens Kestner;Jens;Kestner;AfD;member of federal parliament 2
Jens Koeppen;Jens;Koeppen;CDU;member of federal parliament 1
Jens Lehmann;Jens;Lehmann;CDU;member of federal parliament 2
Jens Maier;Jens;Maier;AfD;member of federal parliament 2
Jens Zimmermann;Jens;Zimmermann;SPD;member of federal parliament 1
Jessica Tatti;Jessica;Tatti;Die Linke;member of federal parliament 2
Jimmy Schulz;Jimmy;Schulz;FDP;member of federal parliament 2
Joachim Pfeiffer;Joachim;Pfeiffer;CDU;member of federal parliament 1
Joachim Poß;Joachim;Poß;SPD;member of federal parliament 1
